name,state,district,category,lat,lng,image_url,image_attribution,source
Ashrafi  Mahal,Madhya Pradesh,Dhar,Palace / Haveli,22.348345,75.398696,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Baz Bahadur""s Palace",Madhya Pradesh,Dhar,Palace / Haveli,22.313533,75.408072,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Bhagwania Gate,Madhya Pradesh,Dhar,,22.312215,75.41723,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Bhangi Gate,Madhya Pradesh,Dhar,,22.361792,75.393808,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Champa Baodi,Madhya Pradesh,Dhar,,22.356736,75.392389,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Chistikhan""s Mahal",Madhya Pradesh,Dhar,Palace / Haveli,22.360342,75.402603,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Chor Kot,Madhya Pradesh,Dhar,,22.337049,75.394867,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Chorkot Mosque,Madhya Pradesh,Dhar,,22.336888,75.394575,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Nahar Jharokha compound,Madhya Pradesh,Dhar,,22.358436,75.393245,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Dai ka Mahal,Madhya Pradesh,Dhar,Palace / Haveli,22.327656,75.402469,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Daike Chhoti Behen ka Mahal,Madhya Pradesh,Dhar,Palace / Haveli,22.329269,75.4025,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Darya Khan""s Tomb",Madhya Pradesh,Dhar,Monument / Tomb,22.337818,75.4023,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Delhi Gate,Madhya Pradesh,Dhar,,22.361155,75.396188,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Dharmashalla,Madhya Pradesh,Dhar,,22.348477,75.396153,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Dilawarkhan's Mosque,Madhya Pradesh,Dhar,,22.3579,75.392247,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar No. 23,Haryana,Palwal,,27.996866,77.329533,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar No. 21,Haryana,Palwal,,28.06875,77.344666,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar No. 20,Haryana,Palwal,,28.105266,77.333666,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar No.19,Haryana,Palwal,,28.142283,77.3274,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar No. 15,Haryana,Palwal,,28.287633,77.291933,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar No. 10,Haryana,Faridabad,,28.469083,77.310183,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Mughal Bridge over the Buddhia wala Nala,Haryana,Faridabad,,28.460341,77.313762,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Surajkund masonry tank,Haryana,Faridabad,,28.483716,77.282883,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar No. 11,Haryana,Faridabad,,28.433538,77.31965,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Bund  or dam, 30 feet by 200",Haryana,Faridabad,,28.4731,77.276183,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ancient site at Banawali (Sotar),Haryana,Fatehabad,,29.598316,75.392133,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Humayun's Mosque,Haryana,Fatehabad,,29.5192,75.458,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Lat of Firoz Shah,Haryana,Fatehabad,,29.519166,75.458116,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Baoli Ghaus Ali Shah,Haryana,Gurgaon,Stepwell / Baoli,28.450183,76.826,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Mosque of Ali Vardi Khan,Haryana,Gurgaon,,28.499416,77.018066,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Agroha mound,Haryana,Hissar,,29.333083,75.620633,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Barsi Gate,Haryana,Hissar,,29.098733,75.964416,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ruined Quila (Prithviraj Chauhan’s  Fort),Haryana,Hissar,Fort,29.105483,75.9632,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Firoz Shah’s  Palace and Tehkhanas,Haryana,Hissar,Palace / Haveli,29.166911,75.72029,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Gujari Mahal,Haryana,Hissar,Palace / Haveli,29.168933,75.720033,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Lat- ki- Masjid,Haryana,Hissar,,29.166201,75.720718,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Ancient Mound No. I, 
II
III
V",Haryana,Hissar,,29.293733,76.114683,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Karnal,,29.757319,76.928907,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Karnal,,29.629816,76.977966,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Site of Ibrahim Lodhi's tomb,Haryana,Panipat,Monument / Tomb,29.401583,76.97295,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Gateway of old Moghul Sarai, Gharaunda
(North Gate)
(South Gate)",Haryana,Karnal,,29.536005,76.97179,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar (North),Haryana,Karnal,,29.555906,76.972727,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar (South),Haryana,Karnal,,29.519014,76.97217,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Cantonment Church Tower, one mile north of the town of Karnal, close to the Grand Trunk Road",Haryana,Karnal,,29.70635,76.98745,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Cantonment Northern Cemetery close by the Cantonment Church Tower at Karnal,Haryana,Karnal,,29.70635,76.98745,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"European soldier's graves, about 300 yards north of Karnal Kachehri",Haryana,Karnal,,29.707083,76.987166,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar (Namaste Chowk),Haryana,Karnal,,29.555746,76.973066,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar (City),Haryana,Karnal,,29.697733,76.978233,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Karnal,,29.48035,76.97185,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Karnal,,29.593416,76.981833,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar (North),Haryana,Karnal,,29.824457,76.905032,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar (south),Haryana,Karnal,,29.792666,76.922683,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kushana known as Jarasandh ka Quila,Haryana,Karnal,,29.52245,76.602416,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ther Polar,Haryana,Kaithal,,29.9325,76.359333,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ancient Brick Temple including Prachin Shivalaya,Haryana,Kaithal,Temple,29.6742,76.2548,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Kurukshetra,,29.890916,76.870233,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ancient Site,Haryana,Kurukshetra,,29.899833,76.864683,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Kurukshetra,,29.926916,76.861216,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Kurukshetra,,30.029535,76.830949,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Kurukshetra,,29.993414,76.830535,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Kurukshetra,,30.2409,76.849985,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
The ancient mound known locally as “Raja Karan ka kila”,Haryana,Kurukshetra,,29.951016,76.80335,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Kurukshetra,,29.960883,76.843033,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Pathar Masjid (bounded on the north by the tomb of Sheikh Chilli, on the south by ruined houses, and on the east and west by roads)",Haryana,Kurukshetra,Monument / Tomb,29.975916,76.82785,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Sheikh Chilli's tomb,Haryana,Kurukshetra,Monument / Tomb,29.976633,76.828133,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ancient Site of Harsh-ka-Tila Archaeological remains,Haryana,Kurukshetra,,29.977083,76.826583,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Kurukshetra,,30.067797,76.845479,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Kurukshetra,,30.2058,76.858916,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Nabha House,Haryana,Kurukshetra,,29.966733,76.83435,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Group of Tombs,Haryana,Jhajjar,,28.606716,76.6686,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Jal Mahal and adjacent land,Haryana,Mahindergarh,Palace / Haveli,28.02835,76.101916,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Shah Ibrahim's tomb together with adjacent land as shown in the plan,Haryana,Mahindergarh,Monument / Tomb,28.041061,76.102484,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Shah Quli Khan's Tomb with adjacent land,Haryana,Mahindergarh,Monument / Tomb,28.031233,76.0983,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
KUND,Rajasthan,CHITTAURGARH,,24.958056,75.593611,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Panipat,,29.298733,77.007516,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Obelisk  commemorating the Third Battle of Panipat,Haryana,Panipat,,29.396233,77.021283,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Panipat,,29.223233,77.008972,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Panipat,,29.260954,77.009267,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Bab-i-Faiz Gate on the north side of Panipat town.,Haryana,Panipat,,29.397033,76.973062,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kabuli Bagh Mosque with enclosure wall,Haryana,Panipat,,29.396033,76.989366,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Panipat,,29.405583,76.97365,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Panipat,,29.370457,76.981405,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kos Minar,Haryana,Panipat,,29.334519,76.995409,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Site of ancient city,Haryana,Rohtak,,28.910883,76.577466,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Shahjahan  Baoli,Haryana,Rohtak,Stepwell / Baoli,28.959833,76.297433,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ther Mound,Haryana,Sirsa,,29.525766,75.022066,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Old Mughal Kos Minar adjoining the north-western railway in Sonepat Tehsil,Haryana,Sonepat,,28.895503,77.069579,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Old Mughal Kos Minars adjoining the North-Western railway in Sonepat Tehsil,Haryana,Sonepat,,28.962266,77.032966,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Old Mughal Kos Minars adjoining the North-Western railway in Sonepat Tehsil,Haryana,Sonepat,,29.112223,77.017621,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Old Mughal Kos Minars adjoining the North-Western railway in Sonepat Tehsil,Haryana,Sonepat,,29.149033,77.016216,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Old Mughal Kos Minars adjoining the North-Western railway in Sonepat Tehsil,Haryana,Sonepat,,29.074,77.012316,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Old Mughal Kos Minars adjoining the North-Western railway in Sonepat Tehsil,Haryana,Sonepat,,28.998771,77.022122,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Tomb of Khawaja Khizr,Haryana,Sonepat,Monument / Tomb,29.006783,77.014083,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Old Mughal Kos Minar adjoining the north-western railway in Sonepat Tehsil,Haryana,Sonepat,,29.036333,77.014266,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Adi Badri, Ancient Site & Remains",Haryana,Yamunanagar,,30.454071,77.344435,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kalinga Monuments,Uttarakhand,Dehradun,,30.336667,78.0676,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Asoka Rock Edict at Kalsi,Uttarakhand,Dehradun,,30.517979,77.84816,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Famous temple sacred to Mahasu,Uttarakhand,Dehradun,Temple,30.497075,77.826968,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Excavated sites of Ashwamedha Yagya,Uttarakhand,Dehradun,,30.731195,78.067466,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ancient excavated site,Uttarakhand,Uttarkashi,,30.884555,78.092568,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Lakhamandal temple,Uttarakhand,Dehradun,Temple,30.971192,77.927716,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Remains of sixteen temples,Uttarakhand,Chamoli,,29.859757,77.880631,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
A trident of Iron with a shaft,Uttarakhand,Chamoli,,30.413802,79.316001,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
The fort with walls,Uttarakhand,Chamoli,Fort,30.175542,79.214011,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Rock inscription,Uttarakhand,Chamoli,,30.632891,79.54963,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Mritunjaya group,Uttarakhand,Almora,,29.773594,79.427219,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Maniyan group,Uttarakhand,Almora,,29.77579,79.429113,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Bandeo temple,Uttarakhand,Almora,Temple,29.776292,79.430931,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kutumbari,Uttarakhand,Almora,,29.777714,79.427088,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Gujardev temple,Uttarakhand,Almora,Temple,29.77838,79.428022,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kacheri group,Uttarakhand,Almora,,29.774854,79.42803,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Badrinath group,Uttarakhand,Almora,,29.774845,79.427021,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ratandeo shrines,Uttarakhand,Almora,,29.632432,79.61463,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Dandeswar temple,Uttarakhand,Almora,Temple,29.637481,79.854331,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Navegraha shrine,Uttarakhand,Almora,,29.637934,79.855162,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
A large temple dedicated to Sun,Uttarakhand,Almora,Temple,29.629246,79.841557,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Khera ki Bani,Uttarakhand,Uttar Pradesh,,29.20509,78.976501,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Shrine dedicated to Surya,Uttarakhand,Almora,,29.336585,80.090391,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Pyramidal shrine,Uttarakhand,Almora,,29.333893,80.084589,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Remains of ancient buildings,Uttarakhand,Nainital,,29.907039,79.615195,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Patal Bhubneshwar Cave temple,Uttarakhand,Pithoragarh,Temple,29.908519,79.610275,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Patal Bhubneshwar Cave temple,Uttarakhand,Pithoragarh,Temple,29.907639,79.609887,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Patal Bhubneshwar Cave temple,Uttarakhand,Pithoragarh,Temple,29.906625,79.610874,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Three temples of the Indo-Aryan shikhra,Uttarakhand,Bageshwar,,29.656174,80.042348,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
The Old cemetery at Rurki,Uttarakhand,Haridwar,,29.407747,79.222707,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
A group of ancient temples,Uttarakhand,Bageshwar,,29.6878,80.094059,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Rudranath temple,Uttarakhand,Chamoli,Temple,30.413839,79.315944,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Nanda Devi or Nau Durga,Uttarakhand,Almora,Temple,29.637466,79.854397,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Sabha Mandapa (Double Shrines) & the ancient shrines,Gujarat,Mehsana,,23.7371,72.474308,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Jasmalnathji Mahadev Temple,Gujarat,Mehsana,Temple,23.583406,72.590258,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ajpal Kund,Gujarat,Mehsana,,23.782805,72.648343,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Inscription  & Arjun Bari Gate,Gujarat,Mehsana,,23.788406,72.639183,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Torana,Gujarat,Mehsana,,23.790811,72.641778,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Kund,Gujarat,Mehsana,,23.564408,72.757397,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Sun Temple, Survy Kund with adjoining other temples & loose sculptures",Gujarat,Mehsana,Temple,23.583528,72.133333,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Gateway of Khan Sarover,Gujarat,Patan,,23.839336,72.115192,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Rani-ki-Vav,Gujarat,Patan,Stepwell / Baoli,23.858897,72.101758,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Sahastralinga Talao (Excavated),Gujarat,Patan,,23.86295,72.096792,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Shaikh Farid Tomb,Gujarat,Patan,Monument / Tomb,23.866556,72.096484,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Jami Masjid,Gujarat,Patan,,23.919448,72.379212,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ruins of Rudra Mahalaya Temple,Gujarat,Patan,Temple,23.919442,72.379492,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Nilkantheshwar Mahadev Temple,Gujarat,Patan,Temple,23.802892,72.318192,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Sivai Mata Temple,Gujarat,Patan,Temple,23.802969,72.317008,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Nilkantheshwar Mahadev Temple,Gujarat,Patan,Temple,23.769286,72.300603,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Tow small shrines Near Sanderi Mata Temple,Gujarat,Patan,Temple,23.767972,72.259301,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Sitlamata Temple,Gujarat,Patan,Temple,23.664922,72.431967,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Torana of  Survey Temple,Gujarat,Patan,Temple,23.664018,72.435304,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Limboji Mata Temple,Gujarat,Patan,Temple,23.641806,71.993965,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
House where Mahatma Gandhi was born,Gujarat,Porbandar,,21.641208,69.600783,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Old Parsvanth Temple,Gujarat,Porbandar,Temple,21.839519,69.382364,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Dhank Caves,Gujarat,Rajkot,,21.781344,70.124136,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Tomb of Sikandarshah,Gujarat,Sabarkantha,Monument / Tomb,23.435636,72.857639,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Group of Temple,Gujarat,Sabarkantha,Temple,23.657687,73.081721,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Dargah known as Khawaja Dana Saheb¦s Rouza,Gujarat,Surat,Monument / Tomb,21.191107,72.821652,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Old English Tombs,Gujarat,Surat,,21.212567,72.828553,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Tomb of Khawaja Safar Sulemani,Gujarat,Surat,Monument / Tomb,21.204215,72.823622,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Old Dutch & Armenian Tombs & Cemetaries,Gujarat,Surat,,21.209575,72.827289,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ancient site comprising S. Plot No.535,Gujarat,Surat,,21.282464,72.966803,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Fateh Burj,Gujarat,Surat,,21.114575,73.395044,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ranak Devi¦s Temple,Gujarat,Surendranagar,Temple,22.714294,71.675203,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ancient Mound,Gujarat,Surendranagar,,22.400442,71.928586,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
